score,time,label,n,contrast,subject
0.0052068046071337085,0.59,t2_s1,2637,wordfreq,04
-0.01081375090561874,0.6,t2_s1,2637,wordfreq,04
0.02831303871007736,-0.2,t3_s0,3753,wordfreq,04
0.028696014068986073,-0.19,t3_s0,3753,wordfreq,04
0.019524841827581525,-0.18,t3_s0,3753,wordfreq,04
0.021464274027152744,-0.17,t3_s0,3753,wordfreq,04
0.0014076432247565602,-0.16,t3_s0,3753,wordfreq,04
-0.029930367547633563,-0.15,t3_s0,3753,wordfreq,04
-0.049116124873876746,-0.14,t3_s0,3753,wordfreq,04
-0.017287874616411722,-0.13,t3_s0,3753,wordfreq,04
-2.3256526945780073e-05,-0.12,t3_s0,3753,wordfreq,04
-0.04014076614324702,-0.11,t3_s0,3753,wordfreq,04
-0.0346311003480489,-0.1,t3_s0,3753,wordfreq,04
-0.0055691845727724445,-0.09,t3_s0,3753,wordfreq,04
-0.01751954052243331,-0.08,t3_s0,3753,wordfreq,04
0.0051418618043662006,-0.07,t3_s0,3753,wordfreq,04
0.020885391832160413,-0.06,t3_s0,3753,wordfreq,04
-0.022453128719857524,-0.05,t3_s0,3753,wordfreq,04
-0.009020503725106271,-0.04,t3_s0,3753,wordfreq,04
0.002373346269771355,-0.03,t3_s0,3753,wordfreq,04
-0.0056354544190045895,-0.02,t3_s0,3753,wordfreq,04
0.018556819628802776,-0.01,t3_s0,3753,wordfreq,04
0.004797824935910482,0.0,t3_s0,3753,wordfreq,04
0.016826756124796945,0.01,t3_s0,3753,wordfreq,04
0.014100233868770209,0.02,t3_s0,3753,wordfreq,04
0.01794958130088714,0.03,t3_s0,3753,wordfreq,04
0.025057613285492376,0.04,t3_s0,3753,wordfreq,04
0.03575858307868846,0.05,t3_s0,3753,wordfreq,04
0.030423271709664218,0.06,t3_s0,3753,wordfreq,04
0.01626127695981287,0.07,t3_s0,3753,wordfreq,04
0.004178221014122187,0.08,t3_s0,3753,wordfreq,04
0.027233976976656592,0.09,t3_s0,3753,wordfreq,04
0.015724236756160817,0.1,t3_s0,3753,wordfreq,04
-0.006380048468008494,0.11,t3_s0,3753,wordfreq,04
0.0020386378058612747,0.12,t3_s0,3753,wordfreq,04
0.021428269780343626,0.13,t3_s0,3753,wordfreq,04
0.028991813047842523,0.14,t3_s0,3753,wordfreq,04
0.022081024798134122,0.15,t3_s0,3753,wordfreq,04
0.030876354510734304,0.16,t3_s0,3753,wordfreq,04
0.03548468051699449,0.17,t3_s0,3753,wordfreq,04
-0.005446408881317067,0.18,t3_s0,3753,wordfreq,04
0.010054493281223672,0.19,t3_s0,3753,wordfreq,04
0.025704855018445077,0.2,t3_s0,3753,wordfreq,04
0.023095399070969497,0.21,t3_s0,3753,wordfreq,04
0.05617369756809297,0.22,t3_s0,3753,wordfreq,04
0.058791753247035165,0.23,t3_s0,3753,wordfreq,04
0.03188492086489932,0.24,t3_s0,3753,wordfreq,04
0.02124461076818571,0.25,t3_s0,3753,wordfreq,04
0.022722083058103977,0.26,t3_s0,3753,wordfreq,04
0.044965564748775125,0.27,t3_s0,3753,wordfreq,04
0.04339974231243058,0.28,t3_s0,3753,wordfreq,04
0.023853060784245417,0.29,t3_s0,3753,wordfreq,04
0.04176507173316738,0.3,t3_s0,3753,wordfreq,04
0.03435185191171079,0.31,t3_s0,3753,wordfreq,04
0.023484127860722945,0.32,t3_s0,3753,wordfreq,04
0.030279639662453953,0.33,t3_s0,3753,wordfreq,04
0.038551039158310124,0.34,t3_s0,3753,wordfreq,04
0.04024534688409876,0.35,t3_s0,3753,wordfreq,04
0.04987337901798743,0.36,t3_s0,3753,wordfreq,04
0.03166517642921549,0.37,t3_s0,3753,wordfreq,04
0.020545647064775015,0.38,t3_s0,3753,wordfreq,04
0.030559929597764532,0.39,t3_s0,3753,wordfreq,04
0.03410643684407394,0.4,t3_s0,3753,wordfreq,04
0.027900970164462562,0.41,t3_s0,3753,wordfreq,04
0.02976648187627404,0.42,t3_s0,3753,wordfreq,04
0.04007031444194334,0.43,t3_s0,3753,wordfreq,04
0.024306216862960393,0.44,t3_s0,3753,wordfreq,04
0.041256769532789096,0.45,t3_s0,3753,wordfreq,04
0.07899132048178414,0.46,t3_s0,3753,wordfreq,04
0.06416591370135395,0.47,t3_s0,3753,wordfreq,04
0.04933813365727417,0.48,t3_s0,3753,wordfreq,04
0.039430200730573545,0.49,t3_s0,3753,wordfreq,04
0.02286881898432132,0.5,t3_s0,3753,wordfreq,04
0.0036542933178069356,0.51,t3_s0,3753,wordfreq,04
0.00836046491207554,0.52,t3_s0,3753,wordfreq,04
0.01934143343826413,0.53,t3_s0,3753,wordfreq,04
0.018329705783382024,0.54,t3_s0,3753,wordfreq,04
0.008493201263894617,0.55,t3_s0,3753,wordfreq,04
0.0012816272004778017,0.56,t3_s0,3753,wordfreq,04
0.00851407414986971,0.57,t3_s0,3753,wordfreq,04
0.008327435936095133,0.58,t3_s0,3753,wordfreq,04
0.017765869568778708,0.59,t3_s0,3753,wordfreq,04
0.033464182921941185,0.6,t3_s0,3753,wordfreq,04
-0.0002834917490652883,-0.2,t3_s1,3753,wordfreq,04
0.022057269011722457,-0.19,t3_s1,3753,wordfreq,04
-0.005341898070393282,-0.18,t3_s1,3753,wordfreq,04
-0.010890398600505584,-0.17,t3_s1,3753,wordfreq,04
-0.01723725751830156,-0.16,t3_s1,3753,wordfreq,04
